region,other_region,time,sector,polymer,value
EU27+3,EU27+3,2022,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2022,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2023,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2023,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2024,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2024,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2025,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2025,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2026,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2026,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2027,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2027,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2028,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2028,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2029,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2029,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2030,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2030,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2031,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2031,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2032,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2032,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2033,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2033,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2034,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2034,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2035,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2035,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2036,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2036,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2037,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2037,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2038,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2038,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2039,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2039,PET single-use beverage bottles,PET,1.0
EU27+3,EU27+3,2040,PET reusable beverage bottles,PET,1.0
EU27+3,EU27+3,2040,PET single-use beverage bottles,PET,1.0
